rank,shop,phone,address,owner,web_status,detail,email,google,hook,channel,status
1,Auto Tech Services Center,(913) 268-7887,"11441 Shawnee Mission Pkwy, Shawnee KS 66203",Kendall,none,NAPA AutoCare directory page only — no owned site,,~4.7 stars / 70+ reviews,"Best reputation in Shawnee but invisible on 'auto repair Shawnee' — only a generic NAPA page",call+demo,verified-top
2,Autobots Garage,(913) 722-5151,"5000 Mackey St, Overland Park KS 66203",Steve/Frank,facebook_only,Facebook page is the entire web presence,,4.9 stars / ~34 reviews,"Near-perfect 4.9 stars and a Facebook page is their whole website",call+demo,verified-top
3,Dave's Trusted Auto,(816) 966-8600,"4815 Martha Truman Rd, Grandview MO 64030",Dave,none,No website found,,4.6 stars / ~71 reviews,"71 reviews at 4.6 and nowhere online to send that credibility",call+demo,verified-top
4,Charlie's Brake & Muffler,(913) 859-9994,"12912 Santa Fe Trail Dr, Lenexa KS 66215",Charlie,none,No website found,,~4.5-4.7 / 60-76 reviews,"Trusted 15+ year shop, strong reviews, no website at all",call+demo,verified-top
5,Lee Auto Repair,(816) 861-7227,"1700 E 31st St, Kansas City MO 64109",Lee,none,No website found,,4.1 stars / ~61 reviews,"Decades-long local following, 61 reviews, no site to capture it",call,verified-top
6,Amilcar's Auto Repair,(816) 382-1302,"1507 W US Hwy 24, Independence MO 64050",Amilcar,none,No website; cash-only shop,,~4.2 stars / ~40 reviews,"Long-running independent with solid reviews and zero web presence",call,verified-top
7,B.N.S. (Bored N' Stroked) Auto Repair,(816) 877-3111,"3937 Myrtle Ave, Kansas City MO 64130",Jace Hill,placeholder_site,Abandoned Wix template with fake placeholder content,BnSservicecenter@gmail.com,unclear (BBB A+),"Owns a domain but it's a placeholder that makes a real business look fake",email+call,verified-secondary
8,Mobile Mechanic KC,(573) 932-4106,"5200 NE 48th St, Kansas City MO 64119",,none,No website found,,~4.5 / ~55 reviews (unverified),"Generic name, no site — drowns among identical KC mobile mechanics",call,verified-secondary
9,Nieman Auto & Tire Repair,(913) 859-9246,"8770 Nieman Rd, Overland Park KS 66214",Geoffrey,none,No website found,,positive (count unconfirmed),"Established tire-and-auto shop, warm reviews, no website",call,verified-secondary
10,Dudes Automotive,(816) 833-1580,"9227 E Truman Rd, Independence MO 64052",,facebook_only,Facebook + TikTok only,,unclear,"70-year lineage being built on social with no site to anchor it",call,verified-secondary
EXCLUDE,First Class Auto Shop,(816) 231-7664,"Kansas City MO",,closed,Appears CLOSED per Yelp (July 2026) — confirm before any contact,,,"Do not contact unless confirmed reopened",none,excluded-closed
EXCLUDE,Affordable Auto Care,(816) 333-9995,"8909 Wornall Rd, Kansas City MO 64114",,none,Active but weak 3.1-star rating,,~3.1 / ~40 reviews,"Weak reputation — lower priority than strong-review shops",none,excluded-weak
